ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
1563494_at	0.0112	0.000598	-3.94	-0.411549	-1.22		
1562563_at	0.0112	0.000598	-3.94	-0.412345	-1.36	HCN1	hyperpolarization activated cyclic nucleotide gated potassium channel 1
215428_at	0.0112	0.000598	-3.94	-0.412618	-1.86		
244546_at	0.0112	0.000599	-3.93	-0.413793	-1.95	CYCS	cytochrome c, somatic
242749_at	0.0112	0.0006	-3.93	-0.414718	-1.93		
1557143_at	0.0112	0.0006	-3.93	-0.415446	-1.21	CSMD2	CUB and Sushi multiple domains 2
244357_at	0.0112	0.000601	-3.93	-0.416528	-1.27		
223903_at	0.0113	0.000602	-3.93	-0.419015	-1.8	TLR9	toll like receptor 9
1559449_a_at	0.0113	0.000603	-3.93	-0.420045	-1.85	ZNF254	zinc finger protein 254
232488_at	0.0113	0.000605	-3.93	-0.423096	-2.02	PHYKPL	5-phosphohydroxy-L-lysine phospho-lyase
223217_s_at	0.0113	0.000606	-3.93	-0.424705	-1.65	NFKBIZ	NFKB inhibitor zeta
222538_s_at	0.0113	0.000606	-3.93	-0.42495	-1.27	APPL1	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1
212027_at	0.0113	0.000607	-3.93	-0.426057	-1.56	RBM25	RNA binding motif protein 25
229413_s_at	0.0113	0.000609	-3.93	-0.429153	-1.28	PCGF3	polycomb group ring finger 3
235522_at	0.0114	0.000614	-3.93	-0.436426	-2.38	CLEC2D	C-type lectin domain family 2 member D
1557051_s_at	0.0114	0.000614	-3.92	-0.437746	-2.07	HOTAIRM1	HOXA transcript antisense RNA, myeloid-specific 1
231233_at	0.0114	0.000615	-3.92	-0.438048	-1.97	PCAT6	prostate cancer associated transcript 6 (non-protein coding)
1562827_at	0.0115	0.000616	-3.92	-0.440934	-2.06	DIO2-AS1	DIO2 antisense RNA 1
218430_s_at	0.0115	0.000617	-3.92	-0.441487	-1.34	RFX7	regulatory factor X7
238549_at	0.0115	0.000617	-3.92	-0.441665	-1.66	CBFA2T2	CBFA2/RUNX1 translocation partner 2
232525_at	0.0115	0.000618	-3.92	-0.443278	-1.78		
240417_at	0.0115	0.000619	-3.92	-0.444544	-1.91		
244248_at	0.0115	0.000619	-3.92	-0.444658	-1.81	TTC27	tetratricopeptide repeat domain 27
228913_at	0.0115	0.000622	-3.92	-0.449485	-1.72	TPT1-AS1	TPT1 antisense RNA 1
232216_at	0.0115	0.000623	-3.92	-0.450487	-1.97	YME1L1	YME1 like 1 ATPase
214815_at	0.0115	0.000623	-3.92	-0.451121	-1.95	TRIM33	tripartite motif containing 33
226663_at	0.0115	0.000624	-3.92	-0.452606	-2.32	ANKRD10-IT1	ANKRD10 intronic transcript 1
225388_at	0.0115	0.000624	-3.92	-0.45284	-1.35	TSPAN5	tetraspanin 5
1567107_s_at	0.0116	0.000626	-3.92	-0.455804	-2.32	TPM4	tropomyosin 4
1566030_at	0.0116	0.000627	-3.92	-0.456549	-1.7		
222796_at	0.0116	0.000629	-3.92	-0.460069	-2.17	ATP5J2-PTCD1///PTCD1	ATP5J2-PTCD1 readthrough///pentatricopeptide repeat domain 1
213478_at	0.0116	0.00063	-3.91	-0.462251	-1.29	KAZN	kazrin, periplakin interacting protein
1562442_a_at	0.0116	0.000631	-3.91	-0.462501	-2.36	SSBP1	single stranded DNA binding protein 1
244803_at	0.0116	0.000631	-3.91	-0.463093	-1.8		
241934_at	0.0116	0.000632	-3.91	-0.464859	-2.19	NTM	neurotrimin
37170_at	0.0116	0.000633	-3.91	-0.466521	-1.84	BMP2K	BMP2 inducible kinase
226066_at	0.0117	0.000634	-3.91	-0.46828	-1.05	MITF	melanogenesis associated transcription factor
239392_s_at	0.0117	0.000635	-3.91	-0.469351	-1.91	POGK	pogo transposable element with KRAB domain
1558740_s_at	0.0117	0.000635	-3.91	-0.469816	-1.22	LOC105369662	uncharacterized LOC105369662
235817_at	0.0117	0.000636	-3.91	-0.470344	-1.65	TMEM184A	transmembrane protein 184A
1566956_at	0.0117	0.000636	-3.91	-0.471113	-1.08	OR7E104P	olfactory receptor family 7 subfamily E member 104 pseudogene
223553_s_at	0.0117	0.000638	-3.91	-0.47376	-1.38	DOK3	docking protein 3
207393_at	0.0117	0.000638	-3.91	-0.474004	-2.28	HCRTR2	hypocretin receptor 2
233479_at	0.0117	0.000639	-3.91	-0.474409	-2.55		
223802_s_at	0.0117	0.00064	-3.91	-0.476531	-1.1	RBBP6	RB binding protein 6, ubiquitin ligase
1556543_at	0.0117	0.000642	-3.91	-0.480013	-1.06		
230730_at	0.0117	0.000643	-3.91	-0.480659	-1.89	SGCD	sarcoglycan delta
233813_at	0.0118	0.000644	-3.91	-0.481843	-1.88	PPP1R16B	protein phosphatase 1 regulatory subunit 16B
1560402_at	0.0118	0.000646	-3.91	-0.485772	-1.83	GAS5	growth arrest specific 5 (non-protein coding)
232354_at	0.0118	0.000647	-3.9	-0.486327	-1.89		
223766_at	0.0118	0.000647	-3.9	-0.486682	-1.51		
209354_at	0.0118	0.000647	-3.9	-0.487344	-1.06	TNFRSF14	TNF receptor superfamily member 14
233912_x_at	0.0118	0.000647	-3.9	-0.487458	-1.24	ELMOD2	ELMO domain containing 2
210600_s_at	0.0118	0.00065	-3.9	-0.491102	-1.69	GRK4	G protein-coupled receptor kinase 4
217141_at	0.0118	0.000651	-3.9	-0.492315	-2.3	BTBD7	BTB domain containing 7
241509_at	0.0119	0.000652	-3.9	-0.493494	-1.5		
235878_at	0.0119	0.000653	-3.9	-0.49593	-2.09		
216751_at	0.0119	0.000654	-3.9	-0.496425	-1.38		
206471_s_at	0.0119	0.000654	-3.9	-0.496983	-2.08	PLXNC1	plexin C1
217586_x_at	0.0119	0.000655	-3.9	-0.498334	-1.62		
1566029_at	0.0119	0.000656	-3.9	-0.500162	-1.4		
226206_at	0.0119	0.000656	-3.9	-0.500285	-1.32	MAFK	MAF bZIP transcription factor K
1565852_at	0.0119	0.000657	-3.9	-0.501825	-1.86		
219679_s_at	0.0119	0.00066	-3.9	-0.505382	-2.07	WAC	WW domain containing adaptor with coiled-coil
238599_at	0.012	0.000661	-3.9	-0.506785	-1.76	IRAK1BP1	interleukin 1 receptor associated kinase 1 binding protein 1
220316_at	0.012	0.000661	-3.9	-0.507173	-1.39	NPAS3	neuronal PAS domain protein 3
236181_at	0.012	0.000662	-3.9	-0.508571	-2.39	LOC389831	uncharacterized LOC389831
230466_s_at	0.012	0.000663	-3.89	-0.510385	-2.18	RASSF3	Ras association domain family member 3
236160_at	0.012	0.000664	-3.89	-0.511561	-1.35	TRIP11	thyroid hormone receptor interactor 11
239414_at	0.012	0.000665	-3.89	-0.512243	-2.05		
241044_x_at	0.012	0.000665	-3.89	-0.51338	-1.53		
215757_at	0.012	0.000666	-3.89	-0.514744	-2.25	PRKDC	protein kinase, DNA-activated, catalytic polypeptide
239274_at	0.012	0.000668	-3.89	-0.516538	-1.71		
230285_at	0.012	0.000668	-3.89	-0.516679	-1.89	SVIP	small VCP interacting protein
227211_at	0.012	0.000669	-3.89	-0.519136	-1.7	PHF19	PHD finger protein 19
202509_s_at	0.012	0.00067	-3.89	-0.519724	-2.13	TNFAIP2	TNF alpha induced protein 2
240413_at	0.0121	0.000671	-3.89	-0.521007	-2.23	PYHIN1	pyrin and HIN domain family member 1
233702_x_at	0.0121	0.000672	-3.89	-0.522354	-1.37		
1557852_at	0.0121	0.000672	-3.89	-0.523536	-1.94	PHC2	polyhomeotic homolog 2
1561346_at	0.0121	0.000673	-3.89	-0.523632	-2.47	LOC101927166	uncharacterized LOC101927166
1557809_a_at	0.0121	0.000675	-3.89	-0.527079	-2.05		
1563287_at	0.0121	0.000676	-3.89	-0.528364	-1.96	LOC101929019	uncharacterized LOC101929019
206487_at	0.0121	0.000676	-3.89	-0.528652	-2.37	SUN1	Sad1 and UNC84 domain containing 1
215281_x_at	0.0121	0.000677	-3.89	-0.530183	-1.7	POGZ	pogo transposable element with ZNF domain
232256_s_at	0.0122	0.000679	-3.89	-0.532593	-1.77	LINC00997	long intergenic non-protein coding RNA 997
1558679_at	0.0122	0.00068	-3.89	-0.533606	-1.39	NOL4L	nucleolar protein 4 like
241993_x_at	0.0122	0.000681	-3.88	-0.535655	-1.55		
240696_at	0.0122	0.000682	-3.88	-0.536999	-2.17		
239693_at	0.0122	0.000684	-3.88	-0.539751	-2.12	SNX24	sorting nexin 24
238210_at	0.0122	0.000685	-3.88	-0.541066	-1.78		
1556682_s_at	0.0122	0.000685	-3.88	-0.541618	-2.41		
243630_at	0.0122	0.000686	-3.88	-0.54269	-1.65	NDUFB1	NADH:ubiquinone oxidoreductase subunit B1
1564004_at	0.0123	0.000689	-3.88	-0.546705	-2.11		
241787_at	0.0123	0.00069	-3.88	-0.547476	-2.22	FOXCUT	FOXC1 upstream transcript (non-protein coding)
237238_at	0.0123	0.000692	-3.88	-0.551051	-2.44	WWC1	WW and C2 domain containing 1
228069_at	0.0123	0.000693	-3.88	-0.551888	-2.33	MTFR2	mitochondrial fission regulator 2
208349_at	0.0123	0.000694	-3.88	-0.553886	-2.19	TRPA1	transient receptor potential cation channel subfamily A member 1
214934_at	0.0123	0.000695	-3.88	-0.554782	-1.29	ATP9B	ATPase phospholipid transporting 9B (putative)
223959_at	0.0123	0.000695	-3.88	-0.555172	-1.96	DNAL1	dynein axonemal light chain 1
235375_x_at	0.0124	0.000697	-3.88	-0.557092	-1.01	TTC9B	tetratricopeptide repeat domain 9B
232773_at	0.0124	0.000698	-3.88	-0.558354	-1.76		
228799_at	0.0124	0.000698	-3.87	-0.559316	-1.68	NCK1-AS1	NCK1 antisense RNA 1 (head to head)
207440_at	0.0124	0.000699	-3.87	-0.559966	-1.72	SLC35A2	solute carrier family 35 member A2
206214_at	0.0124	0.000699	-3.87	-0.560168	-1.67	PLA2G7	phospholipase A2 group VII
1566959_at	0.0124	0.000699	-3.87	-0.560312	-1.87		
205466_s_at	0.0124	0.000699	-3.87	-0.560547	-2.39	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1
1554641_a_at	0.0124	0.000701	-3.87	-0.563085	-1.69	TET3	tet methylcytosine dioxygenase 3
233051_at	0.0125	0.000705	-3.87	-0.56792	-1.93	SLITRK2	SLIT and NTRK like family member 2
243189_at	0.0125	0.000708	-3.87	-0.572556	-1.67	NRF1	nuclear respiratory factor 1
201502_s_at	0.0125	0.000708	-3.87	-0.573077	-1.16	NFKBIA	NFKB inhibitor alpha
211392_s_at	0.0125	0.000709	-3.87	-0.573307	-2.18	PATZ1	POZ/BTB and AT hook containing zinc finger 1
206848_at	0.0125	0.000709	-3.87	-0.573785	-1.79	COX20	COX20, cytochrome c oxidase assembly factor
229541_at	0.0125	0.00071	-3.87	-0.575222	-1.54	HMBOX1	homeobox containing 1
1555267_at	0.0125	0.00071	-3.87	-0.57562	-1.86	GRID1	glutamate ionotropic receptor delta type subunit 1
215578_at	0.0125	0.000712	-3.87	-0.577586	-2.25		
231616_at	0.0125	0.000714	-3.87	-0.579966	-2.45		
1557194_a_at	0.0125	0.000714	-3.87	-0.57998	-1.03	RAD54L2	RAD54-like 2 (S. cerevisiae)
208064_s_at	0.0125	0.000714	-3.87	-0.580455	-1.62	ST8SIA3	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3
1557292_a_at	0.0126	0.000717	-3.86	-0.584291	-1.39	MCOLN3	mucolipin 3
212136_at	0.0126	0.000719	-3.86	-0.586681	-1.35	ATP2B4	ATPase plasma membrane Ca2+ transporting 4
1557122_s_at	0.0126	0.000719	-3.86	-0.58723	-1.45	GABRB2	gamma-aminobutyric acid type A receptor beta2 subunit
1556787_s_at	0.0126	0.00072	-3.86	-0.588088	-2.07	PDE5A	phosphodiesterase 5A
223845_at	0.0126	0.00072	-3.86	-0.588574	-2.01	VSIG10	V-set and immunoglobulin domain containing 10
225173_at	0.0126	0.00072	-3.86	-0.588999	-2.1	ARHGAP18	Rho GTPase activating protein 18
235956_at	0.0126	0.000723	-3.86	-0.592641	-1.19	CEP126	centrosomal protein 126
220728_at	0.0126	0.000724	-3.86	-0.592988	-1.32		
218155_x_at	0.0126	0.000725	-3.86	-0.594756	-1.42	TSR1	TSR1, ribosome maturation factor
215338_s_at	0.0127	0.000725	-3.86	-0.595427	-1.3	NKTR	natural killer cell triggering receptor
1553599_a_at	0.0127	0.000726	-3.86	-0.596098	-1.99	SYCP3	synaptonemal complex protein 3
231011_at	0.0127	0.000727	-3.86	-0.597867	-1.84	LARP1B	La ribonucleoprotein domain family member 1B
228545_at	0.0127	0.000729	-3.86	-0.600342	-1.19	ZNF148	zinc finger protein 148
1405_i_at	0.0127	0.000731	-3.86	-0.602848	-2.26	CCL5	C-C motif chemokine ligand 5
208163_s_at	0.0127	0.000732	-3.86	-0.60357	-1.76	OSBPL7	oxysterol binding protein like 7
1562681_at	0.0128	0.000734	-3.85	-0.606975	-1.45	KRTAP5-AS1	KRTAP5-1/KRTAP5-2 antisense RNA 1
220411_x_at	0.0128	0.000735	-3.85	-0.608372	-1.86	PODNL1	podocan like 1
1557780_at	0.0128	0.000736	-3.85	-0.608776	-2.17		
238534_at	0.0128	0.000738	-3.85	-0.611716	-1.74	LRRFIP1	LRR binding FLII interacting protein 1
213109_at	0.0129	0.000742	-3.85	-0.616422	-1.12	TNIK	TRAF2 and NCK interacting kinase
242268_at	0.0129	0.000743	-3.85	-0.618192	-1.37	CELF2	CUGBP, Elav-like family member 2
229311_at	0.0129	0.000744	-3.85	-0.620038	-2.16	GKAP1	G kinase anchoring protein 1
224991_at	0.0129	0.000745	-3.85	-0.620344	-1.02	CMIP	c-Maf inducing protein
1567274_at	0.0129	0.000746	-3.85	-0.622471	-2.0		
243525_at	0.0129	0.000747	-3.85	-0.623605	-2.15		
222113_s_at	0.0129	0.000748	-3.85	-0.625141	-1.1	EPS15L1	epidermal growth factor receptor pathway substrate 15 like 1
230071_at	0.0129	0.000749	-3.85	-0.625418	-1.14	SEPT11	septin 11
242691_at	0.013	0.00075	-3.85	-0.626981	-2.24		
243057_at	0.013	0.000753	-3.85	-0.630413	-1.96		
212084_at	0.013	0.000755	-3.84	-0.633347	-1.39	TEX261	testis expressed 261
237448_at	0.013	0.000756	-3.84	-0.634282	-1.85		
231191_at	0.013	0.000756	-3.84	-0.63496	-1.92		
40524_at	0.013	0.000756	-3.84	-0.634997	-1.67	PTPN21	protein tyrosine phosphatase, non-receptor type 21
240156_at	0.013	0.000756	-3.84	-0.635065	-2.33		
242780_at	0.013	0.000757	-3.84	-0.635461	-2.16	VAPA	VAMP associated protein A
235743_at	0.0131	0.000758	-3.84	-0.637201	-2.16		
237982_at	0.0131	0.000758	-3.84	-0.637633	-1.95	LOC101928327	uncharacterized LOC101928327
243834_at	0.0131	0.000761	-3.84	-0.640989	-1.31	TNRC6A	trinucleotide repeat containing 6A
215075_s_at	0.0131	0.000761	-3.84	-0.6412	-1.07	GRB2	growth factor receptor bound protein 2
1554127_s_at	0.0131	0.000765	-3.84	-0.645295	-1.57	MSRB3	methionine sulfoxide reductase B3
220635_at	0.0131	0.000765	-3.84	-0.645934	-1.5	PSORS1C2	psoriasis susceptibility 1 candidate 2
235017_s_at	0.0131	0.000766	-3.84	-0.646821	-1.04	CSRNP3	cysteine and serine rich nuclear protein 3
238341_at	0.0131	0.000766	-3.84	-0.647053	-1.62		
203934_at	0.0132	0.000767	-3.84	-0.647862	-1.98	KDR	kinase insert domain receptor
242357_x_at	0.0132	0.000768	-3.84	-0.649799	-1.73		
202148_s_at	0.0132	0.000768	-3.84	-0.649925	-1.2	PYCR1	pyrroline-5-carboxylate reductase 1
202940_at	0.0133	0.000774	-3.83	-0.65755	-2.15	WNK1	WNK lysine deficient protein kinase 1
229425_at	0.0133	0.000776	-3.83	-0.659118	-1.08		
223697_x_at	0.0133	0.000776	-3.83	-0.660028	-1.56	C9orf64	chromosome 9 open reading frame 64
216474_x_at	0.0133	0.000777	-3.83	-0.661256	-1.95	TPSB2///TPSAB1	tryptase beta 2 (gene/pseudogene)///tryptase alpha/beta 1
1552576_at	0.0133	0.000778	-3.83	-0.661641	-1.97	ALMS1P1	ALMS1, centrosome and basal body associated protein pseudogene 1
235789_at	0.0133	0.000779	-3.83	-0.663141	-1.81	LOC100507022///KDM4B	FLJ00291 protein///lysine demethylase 4B
228098_s_at	0.0133	0.000779	-3.83	-0.663569	-2.35	MYLIP	myosin regulatory light chain interacting protein
222786_at	0.0133	0.00078	-3.83	-0.66416	-1.09	CHST12	carbohydrate (chondroitin 4) sulfotransferase 12
1561093_at	0.0133	0.00078	-3.83	-0.664552	-1.35	SLC22A25	solute carrier family 22 member 25
239469_at	0.0133	0.000781	-3.83	-0.665496	-2.24		
221155_x_at	0.0133	0.000782	-3.83	-0.666153	-1.76		
202532_s_at	0.0134	0.000784	-3.83	-0.669377	-1.05	DHFR	dihydrofolate reductase
227050_at	0.0134	0.000784	-3.83	-0.669674	-2.03	TENM3	teneurin transmembrane protein 3
212113_at	0.0134	0.000788	-3.83	-0.673911	-1.94	ATXN7L3B	ataxin 7 like 3B
242233_at	0.0134	0.000789	-3.83	-0.675355	-1.09		
1559044_at	0.0134	0.000791	-3.83	-0.677683	-2.07	EXOSC1	exosome component 1
215322_at	0.0135	0.000793	-3.82	-0.680304	-1.53	LONRF1	LON peptidase N-terminal domain and ring finger 1
236855_at	0.0135	0.000794	-3.82	-0.681301	-1.74	LINC01561	long intergenic non-protein coding RNA 1561
234255_at	0.0135	0.000795	-3.82	-0.682528	-1.72		
1561468_at	0.0135	0.000797	-3.82	-0.684734	-2.25		
234101_at	0.0135	0.000797	-3.82	-0.684828	-1.94		
202935_s_at	0.0135	0.000798	-3.82	-0.685636	-1.1	SOX9	SRY-box 9
240539_at	0.0135	0.000798	-3.82	-0.686151	-1.13		
232323_s_at	0.0135	0.000798	-3.82	-0.68629	-1.22	TTC17	tetratricopeptide repeat domain 17
206879_s_at	0.0135	0.000799	-3.82	-0.686971	-1.24	NRG2	neuregulin 2
235605_at	0.0135	0.000801	-3.82	-0.689118	-1.53	CASZ1	castor zinc finger 1
215604_x_at	0.0135	0.000802	-3.82	-0.69011	-1.46		
1553208_s_at	0.0136	0.000807	-3.82	-0.696397	-1.91	ARL10	ADP ribosylation factor like GTPase 10
1554084_a_at	0.0136	0.000808	-3.82	-0.697868	-1.55	NOL9	nucleolar protein 9
233893_s_at	0.0136	0.000808	-3.82	-0.698108	-1.34	UVSSA	UV stimulated scaffold protein A
204320_at	0.0136	0.000809	-3.82	-0.698681	-1.78	COL11A1	collagen type XI alpha 1 chain
1556507_at	0.0136	0.000809	-3.82	-0.699059	-1.64	LINC01210	long intergenic non-protein coding RNA 1210
244227_at	0.0136	0.00081	-3.82	-0.699782	-1.1	SYT6	synaptotagmin 6
232155_at	0.0137	0.000811	-3.82	-0.701065	-1.61	RNF213	ring finger protein 213
236038_at	0.0137	0.000811	-3.82	-0.7016	-1.06	RNF150	ring finger protein 150
220764_at	0.0137	0.000813	-3.81	-0.703641	-1.99	PPP4R2	protein phosphatase 4 regulatory subunit 2
238706_at	0.0137	0.000815	-3.81	-0.705464	-2.03	PAPD4	poly(A) RNA polymerase D4, non-canonical
236417_at	0.0137	0.000815	-3.81	-0.706077	-1.65		
1566728_at	0.0137	0.000816	-3.81	-0.706811	-2.6		
229694_at	0.0137	0.000817	-3.81	-0.708378	-1.28	WDR11	WD repeat domain 11
231124_x_at	0.0137	0.000818	-3.81	-0.708967	-1.64	LY9	lymphocyte antigen 9
233509_at	0.0137	0.000819	-3.81	-0.710829	-1.89	HERC4	HECT and RLD domain containing E3 ubiquitin protein ligase 4
237868_x_at	0.0137	0.00082	-3.81	-0.711176	-1.79		
224908_s_at	0.0138	0.000823	-3.81	-0.71538	-1.0	TTL	tubulin tyrosine ligase
242986_at	0.0138	0.000823	-3.81	-0.71572	-1.56	NAV1	neuron navigator 1
232396_at	0.0138	0.000827	-3.81	-0.719269	-1.75		
204486_at	0.0138	0.000827	-3.81	-0.719275	-1.85	LOC101927338///KCNQ1OT1	uncharacterized LOC101927338///KCNQ1 opposite strand/antisense transcript 1 (non-protein coding)
242918_at	0.0138	0.000828	-3.81	-0.720903	-1.64	NASP	nuclear autoantigenic sperm protein
238882_at	0.0138	0.00083	-3.81	-0.722842	-1.35		
215384_s_at	0.0139	0.000831	-3.81	-0.723923	-1.54	MAP1A	microtubule associated protein 1A
242080_at	0.0139	0.000831	-3.81	-0.723929	-1.79		
242261_at	0.0139	0.000832	-3.81	-0.725526	-2.0	IREB2	iron responsive element binding protein 2
239724_at	0.0139	0.000832	-3.81	-0.725853	-2.64		
242369_x_at	0.0139	0.000833	-3.8	-0.727093	-1.66		
244181_at	0.0139	0.000834	-3.8	-0.727383	-2.47		
222090_at	0.0139	0.000835	-3.8	-0.728563	-1.66	NDUFB2-AS1	NDUFB2 antisense RNA 1
241677_x_at	0.0139	0.000837	-3.8	-0.73163	-1.35		
242959_at	0.014	0.000839	-3.8	-0.733596	-1.77		
211258_s_at	0.014	0.000839	-3.8	-0.733788	-1.85	TGFA	transforming growth factor alpha
206837_at	0.014	0.00084	-3.8	-0.734346	-1.6	ALX1	ALX homeobox 1
231408_at	0.014	0.00084	-3.8	-0.734974	-1.91	TMEM92	transmembrane protein 92
243515_at	0.014	0.000841	-3.8	-0.736235	-1.27		
1558136_s_at	0.014	0.000842	-3.8	-0.736728	-1.5	TAF11	TATA-box binding protein associated factor 11
229902_at	0.014	0.000844	-3.8	-0.739427	-1.92	FLT4	fms related tyrosine kinase 4
243352_at	0.014	0.000845	-3.8	-0.74	-2.21	ALPK1	alpha kinase 1
242106_at	0.014	0.000845	-3.8	-0.74032	-2.41		
241786_at	0.014	0.000848	-3.8	-0.743077	-1.55		
241226_at	0.014	0.000848	-3.8	-0.743419	-2.31		
234989_at	0.014	0.000848	-3.8	-0.743585	-1.95	MIR612///NEAT1	microRNA 612///nuclear paraspeckle assembly transcript 1 (non-protein coding)
231821_x_at	0.014	0.000849	-3.8	-0.744294	-1.33	LOC729218///GTF2IP20///LINC01061	uncharacterized LOC729218///general transcription factor IIi pseudogene 20///long intergenic non-protein coding RNA 1061
213499_at	0.014	0.000849	-3.8	-0.745228	-1.33	CLCN2	chloride voltage-gated channel 2
1553681_a_at	0.0141	0.000854	-3.8	-0.750257	-1.3	PRF1	perforin 1
1560449_at	0.0141	0.000856	-3.79	-0.752364	-1.34	LOC101927543	uncharacterized LOC101927543
241851_x_at	0.0141	0.000858	-3.79	-0.754657	-2.47	LOC100130429	uncharacterized LOC100130429
242972_at	0.0141	0.000858	-3.79	-0.755186	-1.54	HCG18	HLA complex group 18 (non-protein coding)
232012_at	0.0141	0.000859	-3.79	-0.755856	-1.4	CAPN1	calpain 1
240593_x_at	0.0142	0.000861	-3.79	-0.757528	-1.28		
233440_at	0.0142	0.000862	-3.79	-0.758657	-2.36		
233716_at	0.0142	0.000862	-3.79	-0.759585	-1.14		
239121_at	0.0142	0.000866	-3.79	-0.763329	-1.66		
228285_at	0.0142	0.000866	-3.79	-0.76341	-1.48	TDRD9	tudor domain containing 9
233116_at	0.0142	0.000866	-3.79	-0.763522	-1.7	ZFP92	ZFP92 zinc finger protein
234177_at	0.0142	0.000867	-3.79	-0.76411	-1.82	LOC101927950	uncharacterized LOC101927950
1563549_a_at	0.0142	0.000867	-3.79	-0.765065	-1.65	ANO8	anoctamin 8
1557675_at	0.0142	0.000869	-3.79	-0.766771	-1.82	RAF1	Raf-1 proto-oncogene, serine/threonine kinase
235818_at	0.0142	0.000869	-3.79	-0.766832	-2.11	VSTM1	V-set and transmembrane domain containing 1
232904_at	0.0143	0.000871	-3.79	-0.768484	-1.62	SLC7A14	solute carrier family 7 member 14
1552476_s_at	0.0143	0.000872	-3.79	-0.770497	-1.82	PLCD3	phospholipase C delta 3
210412_at	0.0143	0.000873	-3.79	-0.770669	-1.74	GRIN2B	glutamate ionotropic receptor NMDA type subunit 2B
231851_at	0.0144	0.000877	-3.78	-0.775952	-1.88	RAVER2	ribonucleoprotein, PTB binding 2
234399_at	0.0144	0.000878	-3.78	-0.776741	-2.03		
215553_x_at	0.0144	0.00088	-3.78	-0.778291	-1.34		
214965_at	0.0144	0.000883	-3.78	-0.782081	-1.17	SPATA2L	spermatogenesis associated 2 like
209353_s_at	0.0144	0.000883	-3.78	-0.782293	-2.48		
240720_at	0.0144	0.000884	-3.78	-0.782654	-2.07		
244611_at	0.0144	0.000884	-3.78	-0.782996	-2.25	MED13	mediator complex subunit 13
216936_at	0.0144	0.000884	-3.78	-0.783238	-2.1		
232771_at	0.0144	0.000885	-3.78	-0.784364	-1.99	NRK	Nik related kinase
206998_x_at	0.0145	0.000889	-3.78	-0.787988	-1.77	PRB3	proline rich protein BstNI subfamily 3
235000_at	0.0145	0.000889	-3.78	-0.788711	-1.26	LPP	LIM domain containing preferred translocation partner in lipoma
236274_at	0.0145	0.000893	-3.78	-0.792092	-2.12	EIF3B	eukaryotic translation initiation factor 3 subunit B
243817_at	0.0145	0.000894	-3.78	-0.793533	-1.49		
243279_at	0.0146	0.000896	-3.78	-0.795791	-1.55		
238563_at	0.0146	0.000897	-3.78	-0.796579	-1.16		
1569262_x_at	0.0146	0.000899	-3.78	-0.798918	-2.62	UBE3D	ubiquitin protein ligase E3D
1563331_at	0.0146	0.0009	-3.77	-0.799501	-2.52		
243792_x_at	0.0146	0.000901	-3.77	-0.800641	-1.9	PTPN13	protein tyrosine phosphatase, non-receptor type 13
241884_at	0.0146	0.000901	-3.77	-0.801271	-2.16		
214743_at	0.0146	0.000902	-3.77	-0.80178	-1.22	CUX1	cut like homeobox 1
238580_at	0.0147	0.000904	-3.77	-0.804546	-2.73		
1563886_at	0.0147	0.000905	-3.77	-0.805088	-1.92		
244468_at	0.0147	0.000906	-3.77	-0.806309	-2.22		
235821_at	0.0147	0.000907	-3.77	-0.80684	-2.65	WISP1	WNT1 inducible signaling pathway protein 1
232551_at	0.0147	0.000908	-3.77	-0.807844	-1.61	SLC26A6	solute carrier family 26 member 6
212926_at	0.0147	0.000908	-3.77	-0.807869	-2.01	SMC5	structural maintenance of chromosomes 5
236558_at	0.0147	0.000908	-3.77	-0.808694	-2.54		
233577_at	0.0147	0.00091	-3.77	-0.810674	-1.89		
1553397_at	0.0147	0.000913	-3.77	-0.813565	-1.25	CCDC13	coiled-coil domain containing 13
224877_s_at	0.0147	0.000913	-3.77	-0.813842	-1.82	MRPS5	mitochondrial ribosomal protein S5
213988_s_at	0.0147	0.000913	-3.77	-0.813946	-1.46	SAT1	spermidine/spermine N1-acetyltransferase 1
207141_s_at	0.0147	0.000914	-3.77	-0.814462	-1.88	KCNJ3	potassium voltage-gated channel subfamily J member 3
244047_at	0.0148	0.000917	-3.77	-0.817345	-2.23		
218445_at	0.0148	0.000917	-3.77	-0.817386	-1.01	H2AFY2	H2A histone family member Y2
235041_at	0.0148	0.000917	-3.77	-0.817806	-1.01	GOSR2	golgi SNAP receptor complex member 2
225418_at	0.0148	0.000917	-3.77	-0.817979	-1.69	NECTIN2	nectin cell adhesion molecule 2
1562063_x_at	0.0148	0.000918	-3.77	-0.819078	-1.49		
1554992_at	0.0148	0.00092	-3.77	-0.820596	-2.1	RASGRF1	Ras protein specific guanine nucleotide releasing factor 1
244773_at	0.0148	0.000921	-3.77	-0.821648	-2.01		
212840_at	0.0148	0.000923	-3.76	-0.8239	-1.08	UBXN7	UBX domain protein 7
237510_at	0.0148	0.000925	-3.76	-0.825394	-1.88	MYNN	myoneurin
220348_at	0.0148	0.000925	-3.76	-0.825582	-1.46	KLHL29	kelch like family member 29
