ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
208635_x_at	0.004	0.000112	4.59	1.184889	1.91	NACA	nascent polypeptide-associated complex alpha subunit
200658_s_at	0.004	0.000112	4.59	1.182611	2.36	PHB	prohibitin
229302_at	0.004	0.000113	4.59	1.181585	1.16	TMEM178A	transmembrane protein 178A
202381_at	0.00402	0.000113	4.59	1.177782	1.2	ADAM9	ADAM metallopeptidase domain 9
212253_x_at	0.00406	0.000115	4.58	1.159072	2.07	DST	dystonin
216602_s_at	0.00412	0.000117	4.57	1.143333	2.23	FARSA	phenylalanyl-tRNA synthetase alpha subunit
211928_at	0.00412	0.000117	4.57	1.142249	1.7	DYNC1H1	dynein cytoplasmic 1 heavy chain 1
213682_at	0.00413	0.000118	4.57	1.139914	1.28	NUP50	nucleoporin 50
215021_s_at	0.00413	0.000118	4.57	1.137995	2.57	NRXN3	neurexin 3
221004_s_at	0.00413	0.000118	4.57	1.136791	1.28	ITM2C	integral membrane protein 2C
223004_s_at	0.00414	0.000119	4.57	1.129019	1.21	TIMMDC1	translocase of inner mitochondrial membrane domain containing 1
201574_at	0.00414	0.000119	4.56	1.127668	1.5	ETF1	eukaryotic translation termination factor 1
225523_at	0.00416	0.00012	4.56	1.119833	1.1	MRPL53///CCDC142	mitochondrial ribosomal protein L53///coiled-coil domain containing 142
201226_at	0.00416	0.00012	4.56	1.119081	1.9	NDUFB8	NADH:ubiquinone oxidoreductase subunit B8
212573_at	0.00416	0.00012	4.56	1.116769	1.36	ENDOD1	endonuclease domain containing 1
200812_at	0.00417	0.000121	4.56	1.112331	1.96	CCT7	chaperonin containing TCP1 subunit 7
203139_at	0.00418	0.000121	4.56	1.108959	1.3	DAPK1	death associated protein kinase 1
203517_at	0.0042	0.000122	4.55	1.102336	1.38	MTX2	metaxin 2
209991_x_at	0.00421	0.000122	4.55	1.101153	1.32	GABBR2	gamma-aminobutyric acid type B receptor subunit 2
218695_at	0.00422	0.000123	4.55	1.096561	2.02	EXOSC4	exosome component 4
229039_at	0.00422	0.000123	4.55	1.094179	1.64	SYN2	synapsin II
222474_s_at	0.00423	0.000124	4.55	1.087538	2.51	TOMM22	translocase of outer mitochondrial membrane 22
200792_at	0.00423	0.000124	4.55	1.08726	1.52	XRCC6	X-ray repair cross complementing 6
203404_at	0.00424	0.000125	4.55	1.084707	1.38	ARMCX2	armadillo repeat containing, X-linked 2
219343_at	0.00425	0.000125	4.55	1.082353	1.4	CDC37L1	cell division cycle 37 like 1
223156_at	0.00427	0.000126	4.54	1.077136	2.25	MRPS23	mitochondrial ribosomal protein S23
225187_at	0.00428	0.000126	4.54	1.074039	1.62	CCAR2	cell cycle and apoptosis regulator 2
202254_at	0.00429	0.000127	4.54	1.067919	1.16	SIPA1L1	signal induced proliferation associated 1 like 1
200640_at	0.0043	0.000127	4.54	1.062763	1.89	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta
201970_s_at	0.00431	0.000128	4.54	1.061453	2.77	NASP	nuclear autoantigenic sperm protein
202777_at	0.00431	0.000128	4.54	1.06103	1.24	SHOC2	SHOC2, leucine rich repeat scaffold protein
201359_at	0.00431	0.000128	4.54	1.059102	1.24	COPB1	coatomer protein complex subunit beta 1
225381_at	0.00435	0.000129	4.53	1.048867	1.09	MIR100HG	mir-100-let-7a-2 cluster host gene
213333_at	0.00436	0.00013	4.53	1.046078	1.28	MDH2	malate dehydrogenase 2
222469_s_at	0.00439	0.000131	4.53	1.035889	1.14	TOLLIP	toll interacting protein
207081_s_at	0.00442	0.000132	4.52	1.025592	1.09	PI4KA	phosphatidylinositol 4-kinase alpha
201071_x_at	0.00448	0.000135	4.52	1.010241	1.33	SF3B1	splicing factor 3b subunit 1
200793_s_at	0.00449	0.000135	4.52	1.009133	1.27	ACO2	aconitase 2
208716_s_at	0.00449	0.000135	4.52	1.007616	1.65	TMCO1	transmembrane and coiled-coil domains 1
202759_s_at	0.0045	0.000135	4.51	1.004392	1.06	PALM2-AKAP2///AKAP2	PALM2-AKAP2 readthrough///A-kinase anchoring protein 2
211746_x_at	0.00451	0.000136	4.51	1.00114	1.42	PSMA1	proteasome subunit alpha 1
200703_at	0.00453	0.000136	4.51	0.997148	1.29	DYNLL1	dynein light chain LC8-type 1
211985_s_at	0.00454	0.000137	4.51	0.992734	1.79	CALM3///CALM2///CALM1	calmodulin 3///calmodulin 2///calmodulin 1
219961_s_at	0.00454	0.000137	4.51	0.99214	1.68	KIZ	kizuna centrosomal protein
204156_at	0.00454	0.000137	4.51	0.991392	1.69	SIK3	SIK family kinase 3
1558048_x_at	0.00454	0.000138	4.51	0.987914	3.24		
202698_x_at	0.00457	0.000139	4.51	0.980804	1.17	COX4I1	cytochrome c oxidase subunit 4I1
200750_s_at	0.00458	0.000139	4.5	0.977011	2.82	RAN	RAN, member RAS oncogene family
201522_x_at	0.00461	0.00014	4.5	0.970947	1.17	SNURF///SNRPN	SNRPN upstream reading frame///small nuclear ribonucleoprotein polypeptide N
218935_at	0.00462	0.000141	4.5	0.965252	1.12	EHD3	EH domain containing 3
229065_at	0.00462	0.000141	4.5	0.964991	1.05	SLC35F3	solute carrier family 35 member F3
218491_s_at	0.00462	0.000141	4.5	0.964349	1.62	THYN1	thymocyte nuclear protein 1
200883_at	0.00462	0.000141	4.5	0.96313	2.52	UQCRC2	ubiquinol-cytochrome c reductase core protein II
212961_x_at	0.00465	0.000143	4.49	0.954734	1.29	CXorf40B	chromosome X open reading frame 40B
200636_s_at	0.00466	0.000143	4.49	0.952877	1.16	PTPRF	protein tyrosine phosphatase, receptor type F
208804_s_at	0.00468	0.000144	4.49	0.945939	1.13	SRSF6	serine and arginine rich splicing factor 6
218119_at	0.0047	0.000145	4.49	0.94035	1.84	TIMM23B///TIMM23	translocase of inner mitochondrial membrane 23 homolog B///translocase of inner mitochondrial membrane 23
211972_x_at	0.00474	0.000147	4.48	0.927404	1.59	RPLP0	ribosomal protein lateral stalk subunit P0
208678_at	0.00474	0.000147	4.48	0.925923	1.56	ATP6V1E1	ATPase H+ transporting V1 subunit E1
211563_s_at	0.00474	0.000147	4.48	0.925879	2.05	URI1	URI1, prefoldin like chaperone
225780_at	0.00474	0.000147	4.48	0.924661	1.06	DDI2///RSC1A1	DNA damage inducible 1 homolog 2///regulatory solute carrier protein, family 1, member 1
202916_s_at	0.00478	0.000149	4.48	0.913122	1.2	FAM20B	family with sequence similarity 20 member B
220143_x_at	0.00481	0.00015	4.47	0.903958	1.61	LUC7L	LUC7 like
202128_at	0.00484	0.000152	4.47	0.89642	1.26	AREL1	apoptosis resistant E3 ubiquitin protein ligase 1
221702_s_at	0.00484	0.000152	4.47	0.894443	1.22	TM2D3	TM2 domain containing 3
221952_x_at	0.00484	0.000152	4.47	0.894209	1.16	TRMT5	tRNA methyltransferase 5
201112_s_at	0.00487	0.000154	4.47	0.884343	1.61	CSE1L	chromosome segregation 1 like
225379_at	0.00487	0.000154	4.46	0.881544	1.09	MAPT	microtubule associated protein tau
223650_s_at	0.00487	0.000154	4.46	0.881208	1.76	NRBF2	nuclear receptor binding factor 2
226941_at	0.00487	0.000154	4.46	0.879186	1.0	ATF6	activating transcription factor 6
204565_at	0.00487	0.000155	4.46	0.877859	1.82	ACOT13	acyl-CoA thioesterase 13
201964_at	0.00487	0.000155	4.46	0.877296	1.3	SETX	senataxin
215714_s_at	0.00488	0.000155	4.46	0.876138	2.66	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
226749_at	0.00488	0.000155	4.46	0.875296	1.08	MRPS9	mitochondrial ribosomal protein S9
222140_s_at	0.00488	0.000155	4.46	0.87306	1.47	GPR89A///GPR89B	G protein-coupled receptor 89A///G protein-coupled receptor 89B
202717_s_at	0.00489	0.000156	4.46	0.869705	1.37	CDC16	cell division cycle 16
225154_at	0.00489	0.000156	4.46	0.868614	1.75	SYAP1	synapse associated protein 1
238647_at	0.00489	0.000156	4.46	0.867641	2.4	C14orf28	chromosome 14 open reading frame 28
209445_x_at	0.00489	0.000156	4.46	0.866985	1.63	COA1	cytochrome c oxidase assembly factor 1 homolog
203340_s_at	0.00492	0.000158	4.46	0.857732	1.16	SLC25A12	solute carrier family 25 member 12
223024_at	0.00495	0.00016	4.45	0.84696	1.02	AP1M1	adaptor related protein complex 1 mu 1 subunit
212708_at	0.00496	0.00016	4.45	0.844992	1.07	MSL1	male specific lethal 1 homolog
226031_at	0.00497	0.00016	4.45	0.842635	1.3	VPS50	VPS50, EARP/GARPII complex subunit
223186_at	0.00497	0.000161	4.45	0.841468	1.33	TMEM189-UBE2V1///TMEM189///UBE2V1	TMEM189-UBE2V1 readthrough///transmembrane protein 189///ubiquitin conjugating enzyme E2 V1
202395_at	0.00498	0.000161	4.45	0.838283	1.68	LOC101930324///NSF	uncharacterized LOC101930324///N-ethylmaleimide sensitive factor, vesicle fusing ATPase
212880_at	0.005	0.000162	4.44	0.831951	1.31	WDR7	WD repeat domain 7
228724_at	0.00501	0.000163	4.44	0.829572	1.02	TTLL7	tubulin tyrosine ligase like 7
212699_at	0.00506	0.000165	4.44	0.817218	1.1	SCAMP5	secretory carrier membrane protein 5
211984_at	0.00507	0.000165	4.44	0.812839	1.11	CALM3///CALM2///CALM1	calmodulin 3///calmodulin 2///calmodulin 1
238466_at	0.0052	0.000172	4.42	0.778572	1.38		
201696_at	0.00525	0.000174	4.42	0.763082	1.26	SRSF4	serine and arginine rich splicing factor 4
203738_at	0.00526	0.000175	4.42	0.759128	1.13	C5orf22	chromosome 5 open reading frame 22
226285_at	0.00529	0.000177	4.41	0.749309	1.13	CAPRIN1	cell cycle associated protein 1
223644_s_at	0.00529	0.000177	4.41	0.748807	1.79	CRYGS	crystallin gamma S
222605_at	0.00532	0.000179	4.41	0.739483	1.23	RCOR3	REST corepressor 3
229649_at	0.00535	0.00018	4.4	0.732192	1.26	NRXN3	neurexin 3
222994_at	0.00539	0.000182	4.4	0.719343	1.37	PRDX5	peroxiredoxin 5
211672_s_at	0.00544	0.000185	4.39	0.706316	2.06	ARPC4-TTLL3///ARPC4	ARPC4-TTLL3 readthrough///actin related protein 2/3 complex subunit 4
209384_at	0.00548	0.000187	4.39	0.697321	1.49	PROSC	proline synthetase cotranscribed homolog (bacterial)
218244_at	0.00548	0.000187	4.39	0.696651	1.0	NOL8	nucleolar protein 8
227068_at	0.00553	0.000189	4.38	0.683746	1.26	PGK1	phosphoglycerate kinase 1
201758_at	0.00555	0.000191	4.38	0.677148	1.21	TSG101	tumor susceptibility 101
242705_x_at	0.00555	0.000191	4.38	0.675391	2.66	LRPAP1	LDL receptor related protein associated protein 1
225537_at	0.00556	0.000191	4.38	0.673826	1.2	TRAPPC6B	trafficking protein particle complex 6B
226037_s_at	0.00559	0.000193	4.38	0.666782	1.13	TAF9B	TATA-box binding protein associated factor 9b
203790_s_at	0.0056	0.000193	4.38	0.664534	2.27	RIDA	reactive intermediate imine deaminase A homolog
217850_at	0.0056	0.000193	4.38	0.663933	1.1	SNORD19B///GNL3	small nucleolar RNA, C/D box 19B///G protein nucleolar 3
219277_s_at	0.00562	0.000195	4.37	0.657929	1.19	OGDHL	oxoglutarate dehydrogenase-like
227178_at	0.00567	0.000197	4.37	0.647143	1.2	CELF2	CUGBP, Elav-like family member 2
209249_s_at	0.00567	0.000197	4.37	0.645444	1.58	GHITM	growth hormone inducible transmembrane protein
211630_s_at	0.00573	0.0002	4.36	0.631184	1.05	GSS	glutathione synthetase
218405_at	0.00574	0.000201	4.36	0.628344	2.34	ABT1	activator of basal transcription 1
225585_at	0.00575	0.000201	4.36	0.626642	1.36	RAP2A	RAP2A, member of RAS oncogene family
208984_x_at	0.00575	0.000201	4.36	0.626332	1.97	RBM10	RNA binding motif protein 10
207168_s_at	0.00576	0.000202	4.36	0.622266	1.13	H2AFY	H2A histone family member Y
212535_at	0.00577	0.000202	4.36	0.621267	1.06	MEF2A	myocyte enhancer factor 2A
200965_s_at	0.00577	0.000202	4.36	0.620892	1.32	ABLIM1	actin binding LIM protein 1
200877_at	0.00577	0.000203	4.36	0.619703	1.58	CCT4	chaperonin containing TCP1 subunit 4
208687_x_at	0.00577	0.000203	4.36	0.617722	1.81	SNORD14D///SNORD14C///HSPA8	small nucleolar RNA, C/D box 14D///small nucleolar RNA, C/D box 14C///heat shock protein family A (Hsp70) member 8
213047_x_at	0.00578	0.000203	4.36	0.61603	1.46	SETSIP///SET	SET-like protein///SET nuclear proto-oncogene
202077_at	0.00579	0.000204	4.36	0.612499	1.37	NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1
215089_s_at	0.0058	0.000205	4.35	0.609458	1.6	RBM10	RNA binding motif protein 10
222570_at	0.00584	0.000207	4.35	0.600587	1.17	NCS1	neuronal calcium sensor 1
226270_at	0.00584	0.000207	4.35	0.599591	1.08	EXOC2	exocyst complex component 2
200005_at	0.00588	0.000208	4.35	0.592417	1.53	EIF3D	eukaryotic translation initiation factor 3 subunit D
243932_at	0.0059	0.00021	4.35	0.587371	1.2		
224413_s_at	0.0059	0.00021	4.35	0.587334	1.23	TM2D2	TM2 domain containing 2
230027_s_at	0.0059	0.00021	4.34	0.586684	2.37	MRPL43	mitochondrial ribosomal protein L43
222780_s_at	0.00591	0.000211	4.34	0.582846	1.31	BAALC	brain and acute leukemia, cytoplasmic
200852_x_at	0.00595	0.000213	4.34	0.571512	1.11	GNB2	G protein subunit beta 2
213872_at	0.00604	0.000217	4.33	0.55188	1.84		
217831_s_at	0.00607	0.000219	4.33	0.545878	2.31	NSFL1C	NSFL1 cofactor
205711_x_at	0.00609	0.00022	4.33	0.542547	1.68	ATP5C1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1
217740_x_at	0.00612	0.000221	4.32	0.535111	1.08	SNORD24///SNORD36A///SNORD36B///RPL7A	small nucleolar RNA, C/D box 24///small nucleolar RNA, C/D box 36A///small nucleolar RNA, C/D box 36B///ribosomal protein L7a
223219_s_at	0.00613	0.000222	4.32	0.531976	1.75	CNOT10	CCR4-NOT transcription complex subunit 10
217797_at	0.00615	0.000223	4.32	0.529477	1.27	UFC1	ubiquitin-fold modifier conjugating enzyme 1
201178_at	0.00623	0.000226	4.32	0.514155	1.07	FBXO7	F-box protein 7
207821_s_at	0.00626	0.000227	4.31	0.509207	1.04	PTK2	protein tyrosine kinase 2
230793_at	0.00631	0.000229	4.31	0.500641	1.47	CARMIL1	capping protein regulator and myosin 1 linker 1
201455_s_at	0.00633	0.000231	4.31	0.495133	1.9	NPEPPS	aminopeptidase puromycin sensitive
1554784_at	0.00634	0.000231	4.31	0.494151	1.42	CNTN1	contactin 1
205481_at	0.00634	0.000231	4.31	0.492722	1.13	ADORA1	adenosine A1 receptor
215952_s_at	0.00637	0.000233	4.3	0.484313	1.86	OAZ1	ornithine decarboxylase antizyme 1
221903_s_at	0.00639	0.000235	4.3	0.478809	1.87	CYLD	CYLD lysine 63 deubiquitinase
216903_s_at	0.0064	0.000235	4.3	0.478094	1.21	MICU1	mitochondrial calcium uptake 1
214439_x_at	0.00641	0.000236	4.3	0.473004	1.09	BIN1	bridging integrator 1
204552_at	0.00642	0.000237	4.3	0.471488	1.04	INPP4A	inositol polyphosphate-4-phosphatase type I A
201458_s_at	0.00643	0.000237	4.3	0.468746	1.22	BUB3	BUB3, mitotic checkpoint protein
204546_at	0.00643	0.000238	4.3	0.466465	1.14	KIAA0513	KIAA0513
202043_s_at	0.00646	0.000239	4.29	0.460026	1.32	SMS	spermine synthase
231864_at	0.00646	0.00024	4.29	0.458969	1.57	ZNF33A	zinc finger protein 33A
216640_s_at	0.00646	0.00024	4.29	0.458679	1.71	PDIA6	protein disulfide isomerase family A member 6
218993_at	0.00647	0.00024	4.29	0.456577	1.0	MRM3	mitochondrial rRNA methyltransferase 3
209567_at	0.0065	0.000242	4.29	0.4505	1.83	RRS1	ribosome biogenesis regulator homolog
AFFX-HSAC07/X00351_5_at	0.0065	0.000242	4.29	0.448183	1.02	ACTB	actin beta
223450_s_at	0.00651	0.000243	4.29	0.444787	1.83	COG3	component of oligomeric golgi complex 3
208863_s_at	0.00655	0.000245	4.28	0.43735	2.02	SRSF1	serine and arginine rich splicing factor 1
201546_at	0.00656	0.000246	4.28	0.434066	1.4	TRIP12	thyroid hormone receptor interactor 12
208786_s_at	0.00663	0.00025	4.28	0.419353	1.07	MAP1LC3B	microtubule associated protein 1 light chain 3 beta
200838_at	0.00663	0.00025	4.28	0.41928	1.32	CTSB	cathepsin B
201096_s_at	0.00664	0.000251	4.28	0.416517	1.39	ARF4	ADP ribosylation factor 4
200966_x_at	0.00677	0.000257	4.26	0.390463	1.22	ALDOA	aldolase, fructose-bisphosphate A
214823_at	0.00679	0.000259	4.26	0.38516	1.23	ZNF204P	zinc finger protein 204, pseudogene
208742_s_at	0.00681	0.00026	4.26	0.382468	2.09	SAP18	Sin3A associated protein 18
227283_at	0.00683	0.000261	4.26	0.377537	1.2	EFR3B	EFR3 homolog B
206491_s_at	0.00683	0.000261	4.26	0.377466	1.48	NAPA	NSF attachment protein alpha
210460_s_at	0.00685	0.000262	4.26	0.373864	2.18	PSMD4	proteasome 26S subunit, non-ATPase 4
205257_s_at	0.00687	0.000263	4.26	0.370928	1.78	AMPH	amphiphysin
227674_at	0.00687	0.000264	4.26	0.367459	2.06	ZNF585A	zinc finger protein 585A
213111_at	0.00687	0.000264	4.26	0.367388	1.28	PIKFYVE	phosphoinositide kinase, FYVE-type zinc finger containing
225337_at	0.00691	0.000266	4.25	0.35937	1.01	ABHD2	abhydrolase domain containing 2
219204_s_at	0.00691	0.000266	4.25	0.358902	1.99	SRR	serine racemase
226480_at	0.00691	0.000266	4.25	0.358841	1.2		
201176_s_at	0.00698	0.00027	4.25	0.345888	1.18	ARCN1	archain 1
225451_at	0.00699	0.000271	4.25	0.342599	1.02	GRIPAP1	GRIP1 associated protein 1
202852_s_at	0.00699	0.000271	4.25	0.342038	1.49	AAGAB	alpha- and gamma-adaptin binding protein
221531_at	0.00706	0.000275	4.24	0.326696	2.44	WDR61	WD repeat domain 61
211036_x_at	0.00707	0.000276	4.24	0.323805	1.09	ANAPC5	anaphase promoting complex subunit 5
219338_s_at	0.0071	0.000278	4.23	0.315911	1.21	LRRC49	leucine rich repeat containing 49
218576_s_at	0.0071	0.000279	4.23	0.31529	1.87	DUSP12	dual specificity phosphatase 12
212509_s_at	0.00713	0.00028	4.23	0.310926	1.14	MXRA7	matrix remodeling associated 7
219329_s_at	0.00713	0.00028	4.23	0.310328	1.11	ATRAID	all-trans retinoic acid induced differentiation factor
218824_at	0.00713	0.00028	4.23	0.3096	1.2	PNMAL1	paraneoplastic Ma antigen family like 1
225463_x_at	0.00714	0.000281	4.23	0.305603	1.18	GPR89A///GPR89B	G protein-coupled receptor 89A///G protein-coupled receptor 89B
210337_s_at	0.00717	0.000283	4.23	0.301325	2.05	ACLY	ATP citrate lyase
201740_at	0.00718	0.000283	4.23	0.299487	1.5	NDUFS3	NADH:ubiquinone oxidoreductase core subunit S3
203109_at	0.00721	0.000285	4.23	0.294127	2.56	UBE2M	ubiquitin conjugating enzyme E2 M
223209_s_at	0.00722	0.000285	4.22	0.291974	1.42	VIMP	VCP interacting membrane selenoprotein
244099_at	0.00722	0.000286	4.22	0.290435	1.34	CACNG2	calcium voltage-gated channel auxiliary subunit gamma 2
202548_s_at	0.00725	0.000289	4.22	0.281124	1.13	ARHGEF7	Rho guanine nucleotide exchange factor 7
200613_at	0.00725	0.00029	4.22	0.277732	1.4	AP2M1	adaptor related protein complex 2 mu 1 subunit
223614_at	0.00727	0.000291	4.22	0.274239	1.06	MMP16	matrix metallopeptidase 16
228775_at	0.00733	0.000295	4.21	0.261336	1.34	EMC3	ER membrane protein complex subunit 3
215020_at	0.00735	0.000296	4.21	0.257656	2.36	NRXN3	neurexin 3
202594_at	0.00739	0.000298	4.21	0.251078	1.22	LEPROTL1	leptin receptor overlapping transcript-like 1
211666_x_at	0.00742	0.000301	4.2	0.241874	2.81	SNORD83B///SNORD139///RPL3	small nucleolar RNA, C/D box 83B///small nucleolar RNA, C/D box 139///ribosomal protein L3
225052_at	0.00743	0.000302	4.2	0.239791	1.17	TMEM203	transmembrane protein 203
203509_at	0.00743	0.000302	4.2	0.239124	1.33	SORL1	sortilin related receptor 1
201277_s_at	0.00743	0.000302	4.2	0.237001	1.01	HNRNPAB	heterogeneous nuclear ribonucleoprotein A/B
229830_at	0.00746	0.000305	4.2	0.230302	1.39		
210299_s_at	0.00747	0.000305	4.2	0.227373	1.4	FHL1	four and a half LIM domains 1
208649_s_at	0.00752	0.000308	4.2	0.219334	1.25	VCP	valosin containing protein
218302_at	0.00754	0.000309	4.19	0.216022	1.21	PSENEN	presenilin enhancer gamma-secretase subunit
209177_at	0.00755	0.00031	4.19	0.21282	1.04	NDUFAF3	NADH:ubiquinone oxidoreductase complex assembly factor 3
208837_at	0.00756	0.00031	4.19	0.212282	1.13	TMED3	transmembrane p24 trafficking protein 3
228857_at	0.00756	0.000311	4.19	0.21114	1.08	GNL1	G protein nucleolar 1 (putative)
207791_s_at	0.00758	0.000312	4.19	0.207889	2.69	RAB1A	RAB1A, member RAS oncogene family
205637_s_at	0.0076	0.000313	4.19	0.203127	1.21	SH3GL3	SH3 domain containing GRB2 like 3, endophilin A3
209019_s_at	0.00763	0.000315	4.19	0.197003	1.13	PINK1	PTEN induced putative kinase 1
207827_x_at	0.00763	0.000316	4.19	0.195855	1.34	SNCA	synuclein alpha
217122_s_at	0.00763	0.000316	4.18	0.194706	1.32	SLC35E2B///SLC35E2	solute carrier family 35 member E2B///solute carrier family 35 member E2
210415_s_at	0.00767	0.000319	4.18	0.186865	2.41	ODF2	outer dense fiber of sperm tails 2
212557_at	0.00769	0.00032	4.18	0.182956	1.01	ZNF451	zinc finger protein 451
214434_at	0.00771	0.000322	4.18	0.178572	1.11	HSPA12A	heat shock protein family A (Hsp70) member 12A
201118_at	0.00773	0.000323	4.18	0.174187	1.6	PGD	phosphogluconate dehydrogenase
214687_x_at	0.00774	0.000325	4.17	0.168917	1.21	ALDOA	aldolase, fructose-bisphosphate A
200038_s_at	0.00774	0.000325	4.17	0.168574	1.29	RPL17-C18orf32///SNORD58C///C18orf32///SNORD58A///SNORD58B///RPL17	RPL17-C18orf32 readthrough///small nucleolar RNA, C/D box 58C///chromosome 18 open reading frame 32///small nucleolar RNA, C/D box 58A///small nucleolar RNA, C/D box 58B///ribosomal protein L17
223546_x_at	0.00774	0.000325	4.17	0.166979	1.52	LUC7L	LUC7 like
203413_at	0.00774	0.000326	4.17	0.166583	1.26	NELL2	neural EGFL like 2
221434_s_at	0.00775	0.000326	4.17	0.165887	1.43	SLIRP	SRA stem-loop interacting RNA binding protein
202154_x_at	0.00776	0.000327	4.17	0.162535	1.45	TUBB3	tubulin beta 3 class III
201947_s_at	0.00781	0.000329	4.17	0.15572	1.56	CCT2	chaperonin containing TCP1 subunit 2
221877_at	0.00781	0.00033	4.17	0.154996	1.56	IRGQ	immunity related GTPase Q
202078_at	0.00786	0.000334	4.16	0.143116	1.61	COPS3	COP9 signalosome subunit 3
212586_at	0.00787	0.000335	4.16	0.138161	1.01	CAST	calpastatin
225065_x_at	0.00787	0.000336	4.16	0.138029	2.3	SNORD65///SNORD49B///LRRC75A-AS1///SNORD49A	small nucleolar RNA, C/D box 65///small nucleolar RNA, C/D box 49B///LRRC75A antisense RNA 1///small nucleolar RNA, C/D box 49A
209349_at	0.00791	0.000338	4.16	0.131829	1.76	RAD50	RAD50 double strand break repair protein
231823_s_at	0.00791	0.000338	4.16	0.131058	1.47	SH3PXD2B	SH3 and PX domains 2B
203105_s_at	0.00791	0.000339	4.16	0.129067	1.13	DNM1L	dynamin 1 like
225304_s_at	0.00791	0.000339	4.16	0.128995	1.5	NDUFA11	NADH:ubiquinone oxidoreductase subunit A11
225214_at	0.00793	0.00034	4.16	0.125098	2.33	LOC100129034	uncharacterized LOC100129034
205551_at	0.00793	0.000341	4.16	0.123449	1.17	SV2B	synaptic vesicle glycoprotein 2B
1554627_a_at	0.00793	0.000341	4.16	0.122724	2.09	ASCC1	activating signal cointegrator 1 complex subunit 1
203266_s_at	0.00795	0.000342	4.15	0.119425	1.45	MAP2K4	mitogen-activated protein kinase kinase 4
212088_at	0.00798	0.000345	4.15	0.11132	1.26	PMPCA	peptidase, mitochondrial processing alpha subunit
208856_x_at	0.00798	0.000345	4.15	0.110636	1.22	RPLP0	ribosomal protein lateral stalk subunit P0
219945_at	0.00798	0.000346	4.15	0.107952	1.31	DDX25	DEAD-box helicase 25
224801_at	0.00798	0.000347	4.15	0.107201	1.44	NDFIP2	Nedd4 family interacting protein 2
218415_at	0.008	0.000348	4.15	0.103544	1.35	VPS33B	VPS33B, late endosome and lysosome associated
203182_s_at	0.00801	0.000349	4.15	0.101292	1.09	SRPK2	SRSF protein kinase 2
1552474_a_at	0.00802	0.00035	4.15	0.098063	1.73	GAMT	guanidinoacetate N-methyltransferase
202164_s_at	0.00802	0.00035	4.15	0.097694	1.08	CNOT8	CCR4-NOT transcription complex subunit 8
201231_s_at	0.00802	0.00035	4.15	0.097381	1.3	ENO1	enolase 1
218628_at	0.00803	0.000351	4.14	0.095491	1.58	CCDC53	coiled-coil domain containing 53
226199_at	0.00804	0.000351	4.14	0.094688	1.02	UPRT	uracil phosphoribosyltransferase homolog
207809_s_at	0.00806	0.000353	4.14	0.090591	1.3	ATP6AP1	ATPase H+ transporting accessory protein 1
209036_s_at	0.00807	0.000353	4.14	0.088547	1.23	MDH2	malate dehydrogenase 2
208920_at	0.00813	0.000358	4.14	0.076205	1.2	SRI	sorcin
214978_s_at	0.00813	0.000359	4.14	0.074102	1.33	PPFIA4	PTPRF interacting protein alpha 4
201632_at	0.00813	0.000359	4.14	0.073329	1.41	EIF2B1	eukaryotic translation initiation factor 2B subunit alpha
206053_at	0.00815	0.00036	4.13	0.07099	1.4	ZNF510	zinc finger protein 510
208870_x_at	0.00816	0.000361	4.13	0.068749	1.73	ATP5C1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1
1556183_at	0.0082	0.000364	4.13	0.06102	1.24	ANKRD36BP2	ankyrin repeat domain 36B pseudogene 2
203410_at	0.0082	0.000364	4.13	0.060174	1.42	AP3M2	adaptor related protein complex 3 mu 2 subunit
207922_s_at	0.0082	0.000364	4.13	0.059696	1.02	MAEA	macrophage erythroblast attacher
207232_s_at	0.00821	0.000365	4.13	0.057085	2.04	DZIP3	DAZ interacting zinc finger protein 3
210453_x_at	0.00823	0.000366	4.13	0.05405	1.16	ATP5L	ATP synthase, H+ transporting, mitochondrial Fo complex subunit G
210211_s_at	0.00823	0.000366	4.13	0.053889	1.14	HSP90AA1	heat shock protein 90 alpha family class A member 1
208980_s_at	0.0083	0.000371	4.12	0.041394	1.18	UBC	ubiquitin C
227414_at	0.00832	0.000372	4.12	0.038605	2.04	RHBDD1	rhomboid domain containing 1
232612_s_at	0.00833	0.000373	4.12	0.035989	1.88	ATG16L1	autophagy related 16 like 1
228068_at	0.00834	0.000374	4.12	0.034887	1.41	GOLGA7B	golgin A7 family member B
206690_at	0.00834	0.000374	4.12	0.034782	1.96	ASIC2	acid sensing ion channel subunit 2
203333_at	0.00836	0.000376	4.12	0.030658	2.03	KIFAP3	kinesin associated protein 3
218133_s_at	0.00837	0.000377	4.12	0.027983	1.03	NIF3L1	NGG1 interacting factor 3 like 1
215728_s_at	0.0084	0.000379	4.11	0.022201	2.0	ACOT7	acyl-CoA thioesterase 7
202151_s_at	0.0084	0.000379	4.11	0.021937	1.41	UBAC1	UBA domain containing 1
